marca,modelo,color,matricula
Peugeot,208,Rojo,4012KGF
Dacia,Sandero,Naranja,6912CBD
Ford,Focus,Amarillo,9863BXJ
Dacia,Jogger,Azul,7359YLB
Toyota,CHR,Plata,4552GJN
Peugeot,208,Verde,1584PPZ
BMW,Serie 1,Marron,8785FRD
Dacia,Spring,Naranja,5925YJD
Renault,Megane,Rojo,1307KFR
BMW,X3,Plata,2664PPJ
BMW,Serie 1,Naranja,2803XKH
Skoda,Karoq,Rojo,9125KNC
Opel,Corsa,Plata,6572LDJ
Mercedes,Clase C,Marron,6482TGL
Citroen,C4,Amarillo,8830LYS
Kia,Rio,Azul,2266WVD
Renault,Clio,Gris,2621SZD
Kia,Niro,Naranja,7668WLX
Seat,Ibiza,Amarillo,4371NFM
Fiat,Panda,Marron,0053LWH
Mazda,CX-5,Rojo,8317ZJG
Hyundai,i20,Amarillo,8689BZN
Nissan,Qashqai,Negro,5947MKC
Opel,Insignia,Negro,1403VDX
Citroen,C4,Marron,9007HLW
Fiat,Panda,Amarillo,3295MRP
Skoda,Superb,Marron,1982KKD
Mercedes,Clase A,Naranja,9075KYK
Seat,Ibiza,Blanco,3750DCN
Volkswagen,T-Roc,Azul,4562VJX
Citroen,C1,Naranja,7744KVS
Ford,Fiesta,Negro,7062PSS
Skoda,Octavia,Negro,0993RNF
Opel,Astra,Azul,8786TGS
Toyota,RAV4,Marron,4092DTX
Peugeot,208,Amarillo,0241DKH
Fiat,500X,Marron,3502RCH
Kia,Sportage,Verde,4345TMS
Dacia,Jogger,Gris,3111MJC
Dacia,Sandero,Plata,0936CYV
Mazda,CX-60,Gris,0931WDH
Volkswagen,T-Roc,Negro,3853RFY
Opel,Insignia,Naranja,0651ZDS
Mazda,CX-30,Rojo,3346NKL
Kia,Ceed,Rojo,7491NDB
Skoda,Superb,Naranja,1638DXJ
Mazda,CX-30,Gris,5718DKP
Audi,A4,Marron,8900MZW
Seat,Tarraco,Rojo,1697GLF
Peugeot,5008,Gris,4462MZJ
Mercedes,Clase C,Rojo,8280VLC
Volkswagen,Tiguan,Rojo,0722BNG
BMW,Serie 3,Marron,9038SXB
Peugeot,208,Gris,8938CPY
Dacia,Duster,Verde,2088CMP
Renault,Captur,Azul,4088FPX
Fiat,Punto,Gris,3878HHS
Seat,Leon,Plata,6745KLH
Peugeot,3008,Blanco,7711KJT
Hyundai,i30,Azul,3652BJR
Mercedes,GLA,Negro,4573PWR
Dacia,Spring,Blanco,1889LHY
BMW,Serie 1,Negro,9774SPN
Fiat,Punto,Amarillo,1894RYJ
BMW,Serie 1,Verde,0027WXJ
Hyundai,Kona,Negro,5409ZNF
Audi,A1,Rojo,6691NRM
Dacia,Duster,Azul,6888RHZ
Audi,Q5,Amarillo,0006MMJ
Fiat,Punto,Naranja,5279TTT
Ford,Mondeo,Marron,2780DMW
Mercedes,Clase A,Azul,5085KJG
Seat,Ibiza,Azul,7784ZDT
Fiat,Punto,Azul,6291VRK
Citroen,C3,Negro,6965KHW
Skoda,Octavia,Amarillo,4082FTG
Skoda,Superb,Amarillo,9755NTZ
Mazda,Mazda2,Amarillo,7305HVT
BMW,Serie 3,Rojo,8540VKL
Skoda,Octavia,Rojo,3841LNN
